"method","deg_condition","best_dim_At","jaccard_At","best_dim_Pj","jaccard_Pj"
"pca","2d+","Dim2-",0.278772378516624,"Dim2-",0.240694789081886
"pca","2d-","Dim2+",0.285347043701799,"Dim2+",0.340482573726542
"pca","3d+","Dim2-",0.199040767386091,"Dim2-",0.162790697674419
"pca","3d-","Dim2+",0.179245283018868,"Dim2+",0.231527093596059
"pca","4d+","Dim4-",0.114827201783724,"Dim3+",0.259445843828715
"pca","4d-","Dim1-",0.280409731113956,"Dim1+",0.199040767386091
"pca","5d+","Dim1+",0.141552511415525,"Dim3+",0.180637544273908
"pca","5d-","Dim1-",0.264222503160556,"Dim1+",0.385041551246537
"pca","6d+","Dim3+",0.169590643274854,"Dim4-",0.213592233009709
"pca","6d-","Dim1-",0.360544217687075,"Dim1+",0.340482573726542
"pca","7d+","Dim1+",0.200480192076831,"Dim4-",0.257861635220126
"pca","7d-","Dim1-",0.336898395721925,"Dim1+",0.287001287001287
"pca","14d+","Dim3-",0.287001287001287,"Dim3-",0.257861635220126
"pca","14d-","Dim2-",0.221001221001221,"Dim2-",0.219512195121951
"pca","graft+","Dim1+",0.414427157001414,"Dim1-",0.501501501501502
"pca","graft-","Dim1-",0.385041551246537,"Dim1+",0.594896331738437
"pca","MEAN_BEST","",0.275138429112952,"",0.318562517504649
"pca","N_DISTINCT_DIMS","7",NA,"7",NA
