"method","species","n_distinct","n_dim","mean_specificity","mean_max_score"
"guided_pls","At",4,4,0.801593810307312,25.2343838107813
"guided_pls","Pj",4,4,0.771941722020895,23.4318293988145
"rbh_pls","At",1,4,0.5,3.00902323132321
"rbh_pls","Pj",1,4,0.5,6.6640873515353
"guided_pca","At",7,11,0.690930773101541,18.4211772638929
"guided_pca","Pj",5,11,0.65534610656237,25.6516711070717
"pca","At",3,4,0.730056723410563,30.330958432135
"pca","Pj",4,4,0.632503589903535,36.6320366049502
