"category","n_genes","n_deg","deg_rate","odds_ratio","pvalue"
"gPLS_ortho_At",26,12,0.461538461538462,0.507214393879687,0.973062844793279
"gPLS_nonortho_At",474,166,0.350210970464135,0.282169311907508,1
"RBH_At",107,85,0.794392523364486,2.33023853707121,0.000131195572354629
"gPLS_ortho_Pj",16,6,0.375,0.492658569208755,0.950483324591556
"gPLS_nonortho_Pj",484,99,0.204545454545455,0.182121329084761,1
"RBH_Pj",107,85,0.794392523364486,3.24795035862772,7.22208694656092e-08
