"method","species","n_distinct","n_dim","mean_specificity","mean_max_score"
"guided_pls","At",4,4,0.851140638547797,16.0773048917612
"guided_pls","Pj",4,4,0.836845907563064,19.9551363472394
"rbh_pls","At",1,4,0.563251067372089,0.916557912828745
"rbh_pls","Pj",1,4,0.543968266634112,4.13069995237275
"guided_pca","At",4,7,0.659903144547449,30.3213404757289
"guided_pca","Pj",4,7,0.730218074937629,67.5226971845408
"pca","At",3,4,0.657131887989163,25.5218489590311
"pca","Pj",4,4,0.80938023195337,57.5725871211173
